"","Var1","Freq"
"1","Katy Perry",17
"2","Justin Bieber",16
"3","Maroon 5",15
"4","Rihanna",15
"5","Lady Gaga",14
"6","Bruno Mars",13
"7","Ed Sheeran",11
"8","Pitbull",11
"9","Shawn Mendes",11
"10","The Chainsmokers",11
"11","Adele",10
"12","Calvin Harris",10
"13","Jennifer Lopez",10
"14","Ariana Grande",9
"15","Britney Spears",9
"16","David Guetta",9
"17","Justin Timberlake",9
"18","Kesha",9
"19","OneRepublic",9
"20","Beyoncé",8
"21","Demi Lovato",8
"22","Selena Gomez",8
"23","Taylor Swift",8
"24","DNCE",7
"25","One Direction",7
"26","Alicia Keys",6
"27","Christina Aguilera",6
"28","Meghan Trainor",6
"29","Nicki Minaj",6
"30","P!nk",6
"31","Sia",6
"32","Zedd",6
"33","Birdy",5
"34","Carly Rae Jepsen",5
"35","Ellie Goulding",5
"36","Enrique Iglesias",5
"37","Kelly Clarkson",5
"38","Little Mix",5
"39","Miley Cyrus",5
"40","The Black Eyed Peas",5
"41","The Weeknd",5
"42","ZAYN",5
"43","Alessia Cara",4
"44","Coldplay",4
"45","Fifth Harmony",4
"46","Jason Derulo",4
"47","Kygo",4
"48","Lana Del Rey",4
"49","Nick Jonas",4
"50","Emeli Sandé",3
"51","Avicii",3
"52","Camila Cabello",3
"53","Cardi B",3
"54","Charlie Puth",3
"55","Chris Brown",3
"56","Christina Perri",3
"57","DJ Khaled",3
"58","Dua Lipa",3
"59","Fergie",3
"60","Florence + The Machine",3
"61","Gwen Stefani",3
"62","Hailee Steinfeld",3
"63","Jessie J",3
"64","Jonas Brothers",3
"65","Liam Payne",3
"66","Macklemore & Ryan Lewis",3
"67","Mark Ronson",3
"68","Mike Posner",3
"69","Sam Smith",3
"70","Shakira",3
"71","The Wanted",3
"72","Adam Lambert",2
"73","Austin Mahone",2
"74","Avril Lavigne",2
"75","Bebe Rexha",2
"76","Cashmere Cat",2
"77","Clean Bandit",2
"78","Daft Punk",2
"79","DJ Snake",2
"80","Drake",2
"81","Eminem",2
"82","Flo Rida",2
"83","fun.",2
"84","G-Eazy",2
"85","Hilary Duff",2
"86","John Legend",2
"87","Lizzo",2
"88","LMFAO",2
"89","Lost Frequencies",2
"90","Madonna",2
"91","Major Lazer",2
"92","Mariah Carey",2
"93","Marshmello",2
"94","Martin Garrix",2
"95","Missy Elliott",2
"96","Naughty Boy",2
"97","Neon Trees",2
"98","Niall Horan",2
"99","Passenger",2
"100","Pharrell Williams",2
"101","Rita Ora",2
"102","Robin Schulz",2
"103","Robin Thicke",2
"104","Rudimental",2
"105","Selena Gomez & The Scene",2
"106","Sigala",2
"107","T.I.",2
"108","Taio Cruz",2
"109","Tinie Tempah",2
"110","Tove Lo",2
"111","Usher",2
"112","BØRNS",1
"113","MØ",1
"114","3OH!3",1
"115","5 Seconds of Summer",1
"116","A Great Big World",1
"117","Alan Walker",1
"118","Alesso",1
"119","Ansel Elgort",1
"120","Bastille",1
"121","Charli XCX",1
"122","Ciara",1
"123","CNCO",1
"124","Daddy Yankee",1
"125","Dan + Shay",1
"126","Disclosure",1
"127","Far East Movement",1
"128","Galantis",1
"129","Gym Class Heroes",1
"130","Halsey",1
"131","Harry Styles",1
"132","Hayley Kiyoko",1
"133","Hot Chelle Rae",1
"134","Hozier",1
"135","Icona Pop",1
"136","Iggy Azalea",1
"137","J Balvin",1
"138","James Arthur",1
"139","Janet Jackson",1
"140","Jennifer Hudson",1
"141","Jess Glynne",1
"142","Jewel",1
"143","Joey Montana",1
"144","John Newman",1
"145","Jonas Blue",1
"146","Kanye West",1
"147","Kelly Rowland",1
"148","Khalid",1
"149","Labrinth",1
"150","Lea Michele",1
"151","Lewis Capaldi",1
"152","Lilly Wood and The Prick",1
"153","Lily Allen",1
"154","Lorde",1
"155","Luis Fonsi",1
"156","Lukas Graham",1
"157","Mabel",1
"158","MAGIC!",1
"159","Martin Solveig",1
"160","Michael Jackson",1
"161","Mr. Probz",1
"162","N.E.R.D",1
"163","Ne-Yo",1
"164","Nelly Furtado",1
"165","Olly Murs",1
"166","Owl City",1
"167","Paloma Faith",1
"168","R3HAB",1
"169","RedOne",1
"170","Ricky Martin",1
"171","Sara Bareilles",1
"172","Sean Kingston",1
"173","SHAED",1
"174","Silk City",1
"175","Sleeping At Last",1
"176","Snakehips",1
"177","Swedish House Mafia",1
"178","The Script",1
"179","Train",1
"180","Troye Sivan",1
"181","will.i.am",1
"182","Wiz Khalifa",1
"183","Years & Years",1
"184","Zara Larsson",1
